node_id,is_ad,ego_original_size,ego_was_subsampled,H0_invalid_count,H0_count,H0_total_persistence,H0_max_persistence,H0_mean_persistence,H0_median_persistence,H0_std_persistence,H0_entropy,H0_infinite_count,H1_invalid_count,H1_count,H1_total_persistence,H1_max_persistence,H1_mean_persistence,H1_median_persistence,H1_std_persistence,H1_entropy,H1_infinite_count,H2_invalid_count,H2_count,H2_total_persistence,H2_max_persistence,H2_mean_persistence,H2_median_persistence,H2_std_persistence,H2_entropy,H2_infinite_count,degree,clustering_coefficient,ego_size_1hop,ego_edges_1hop,ego_density_1hop,ego_size_2hop,ego_edges_2hop,ego_density_2hop
6195,1,9283,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,41,41.0,1.0,1.0,1.0,0.0,3.7135720626043076,0,0,100,100.0,1.0,1.0,1.0,0.0,4.605170175988092,0,209,0.046512697828487305,210,1220,0.055593529277739806,9283,101604,0.002358364272299296
2099,1,13583,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2303,0.007268877937702985,2304,21571,0.008130623703382063,13583,115271,0.0012496564341901257
6197,1,9904,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,18,18.0,1.0,1.0,1.0,0.0,2.890371756096165,0,0,14,14.0,1.0,1.0,1.0,0.0,2.639057328215258,0,210,0.06461608566871725,211,1628,0.07348228390882419,9904,104118,0.002123138873567955
6198,1,8899,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,22,22.0,1.0,1.0,1.0,0.0,3.0910424511583154,0,0,41,41.0,1.0,1.0,1.0,0.0,3.7135720626043076,0,134,0.06823027718550106,135,742,0.0820342730790492,8899,95216,0.002404951488383245
10295,1,9237,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,50,50.0,1.0,1.0,1.0,0.0,3.9120230004281464,0,0,48,48.0,1.0,1.0,1.0,0.0,3.8712010061078903,0,147,0.034199981362407976,148,514,0.04725133296561868,9237,97141,0.002277286636919242
2100,1,12898,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2291,0.004794916123277149,2292,14869,0.005663332426834498,12898,113791,0.0013681283340470887
120892,1,12134,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,511,0.025908445570008827,512,3887,0.029713490704500977,12134,109727,0.0014906349956733996
90,1,1743,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,133,133.0,1.0,1.0,1.0,0.0,4.890349114921754,0,0,130,130.0,1.0,1.0,1.0,0.0,4.867534437455583,0,105,0.004761904761904762,106,131,0.02353998203054807,1743,29288,0.019291863204828497
2147,1,4301,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,133,133.0,1.0,1.0,1.0,0.0,4.890349114921754,0,0,141,141.0,1.0,1.0,1.0,0.0,4.948759876278167,0,45,0.022222222222222223,46,67,0.0647342995169082,4301,64098,0.006931649210837934
102,1,3739,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,54,54.0,1.0,1.0,1.0,0.0,3.988984041164275,0,0,3,3.0,1.0,1.0,1.0,0.0,1.0986122883681095,0,96,0.016885964912280702,97,173,0.03715635738831615,3739,54579,0.007810175766518116
53353,1,4788,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,123,123.0,1.0,1.0,1.0,0.0,4.812184343072419,0,0,83,83.0,1.0,1.0,1.0,0.0,4.418840599496599,0,74,0.0273972602739726,75,148,0.05333333333333334,4788,60845,0.005309300687133194
8301,1,8274,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,39,39.0,1.0,1.0,1.0,0.0,3.6635616422296478,0,0,104,104.0,1.0,1.0,1.0,0.0,4.644390888741372,0,280,0.02749615975422427,281,1354,0.0344178952719878,8274,95536,0.0027913770827696074
116,1,275,False,0,275,274.0,1.0,0.9963636363636363,1.0,0.06019252857180673,5.613128078988071,0,0,149,149.0,1.0,1.0,1.0,0.0,5.003946291045461,0,0,217,217.0,1.0,1.0,1.0,0.0,5.379897331840461,0,29,0.0,30,29,0.06666666666666667,275,3774,0.10017252820172529
4214,1,6945,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,82,82.0,1.0,1.0,1.0,0.0,4.406719239064253,0,0,185,185.0,1.0,1.0,1.0,0.0,5.220355806578324,0,157,0.036583374162992,158,605,0.04877852132548577,6945,85901,0.003562429291370976
8312,1,8928,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,76,76.0,1.0,1.0,1.0,0.0,4.33073333268633,0,0,166,166.0,1.0,1.0,1.0,0.0,5.111987771756542,0,155,0.05387515710096355,156,798,0.06600496277915632,8928,95547,0.0023976585470440646
4223,1,7295,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,700,0.0019987737584304106,701,1189,0.00484613816996128,7295,89234,0.00335404821636945
114815,1,125,False,0,125,124.0,1.0,0.992,1.0,0.08908422980528036,4.820281553205036,0,0,30,30.0,1.0,1.0,1.0,0.0,3.4011973786621548,0,0,19,19.0,1.0,1.0,1.0,0.0,2.94443897726644,0,4,0.0,5,4,0.4,125,1268,0.16361290322580646
8325,1,374,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,224,224.0,1.0,1.0,1.0,0.0,5.41164602945504,0,0,126,126.0,1.0,1.0,1.0,0.0,4.83628189435148,0,35,0.008403361344537815,36,40,0.06349206349206349,374,4386,0.0628808189129905
135,1,1664,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,84,84.0,1.0,1.0,1.0,0.0,4.430816790443312,0,0,7,7.0,1.0,1.0,1.0,0.0,1.945910148355313,0,27,0.008547008547008548,28,30,0.07936507936507936,1664,15976,0.01154655626994773
2185,1,5065,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,60,60.0,1.0,1.0,1.0,0.0,4.094344556222101,0,0,164,164.0,1.0,1.0,1.0,0.0,5.099866411424199,0,80,0.06740506329113924,81,293,0.0904320987654321,5065,69057,0.005384737745797523
6285,1,4294,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,124,124.0,1.0,1.0,1.0,0.0,4.820281553205036,0,0,68,68.0,1.0,1.0,1.0,0.0,4.219507698376108,0,172,0.007479940160478716,173,282,0.01895416050544428,4294,59652,0.006471904143952021
729230,1,2833,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,39,39.0,1.0,1.0,1.0,0.0,3.6635616422296478,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,41,0.004878048780487805,42,45,0.05226480836236934,2833,29076,0.007248110944258646
6288,1,930,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,174,174.0,1.0,1.0,1.0,0.0,5.1590552818145285,0,0,122,122.0,1.0,1.0,1.0,0.0,4.8040210325332575,0,49,0.011054421768707483,50,62,0.05061224489795919,930,11790,0.02729261432688635
4241,1,3634,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,189,189.0,1.0,1.0,1.0,0.0,5.241746996159644,0,0,148,148.0,1.0,1.0,1.0,0.0,4.997212258964115,0,76,0.014736842105263158,77,118,0.04032809295967191,3634,53300,0.00807433722643638
