node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
8347,260,0,12675,300,6003,True,49.12,3080,267.6375389713982,1,18,25,53,1,31,65,87,-13,-40,-34,1,18,25,53,1,31,65,87,-13,-40,-34,1,18,25,53,1,31,65,87,-13,-40,-34,1,18,25,53,1,31,65,87,-13,-40,-34,1,18,25,53,1,31,66,87,-13,-41,-34,1,12,51,67,1,23,72,80,-11,-21,-13,8.982146526069662e-17,0,-0.8571428571428544,6,3.714285714285715,26,2.0000000000000018,14,0.2857142857142846,2,2.6285714285714232,20,2.9999999999999982,21,6.7302069664001465,Candidate,2025-11-30T00:59:00.409464
338339,260,0,12029,300,3364,True,22.813333333333333,2208,142.9308637846362,1,50,15,2,1,104,65,2,-54,-50,0,1,50,15,2,1,104,65,2,-54,-50,0,1,50,15,2,1,104,65,2,-54,-50,0,1,50,15,2,1,104,65,2,-54,-50,0,1,50,15,2,1,104,65,2,-54,-50,0,1,36,19,2,1,66,57,2,-30,-38,0,8.982146526069662e-17,0,-1.9999999999999922,14,0.5714285714285723,4,1.7964293052139324e-16,0,3.4285714285714226,24,1.714285714285706,12,0.0,0,2.832550048828125,Candidate,2025-11-30T00:59:03.242521
85440,260,0,14741,300,6528,True,61.54,2319,249.91664290318883,1,22,78,114,1,62,174,199,-40,-96,-85,1,22,78,114,1,62,174,199,-40,-96,-85,1,22,78,114,1,62,174,199,-40,-96,-85,1,22,78,114,1,62,174,199,-40,-96,-85,1,10,69,128,1,48,173,235,-38,-104,-107,1,8,32,85,1,44,116,183,-36,-84,-98,8.982146526069662e-17,0,-3.028571428571426,14,-7.342857142857132,46,-2.942857142857137,43,0.7428571428571391,4,1.0285714285714225,20,-3.742857142857147,22,4.538958787918091,Candidate,2025-11-30T00:59:07.781888
55291,260,0,14641,300,6722,True,43.736666666666665,3080,248.2843544316789,1,29,43,39,1,81,141,184,-52,-98,-145,1,29,43,39,1,81,141,184,-52,-98,-145,1,29,43,39,1,81,141,184,-52,-98,-145,1,29,43,39,1,81,141,184,-52,-98,-145,1,24,55,57,1,83,170,211,-59,-115,-154,1,11,46,77,1,53,120,169,-42,-74,-92,8.982146526069662e-17,0,-2.9999999999999973,18,1.4571428571428604,12,6.9714285714285715,38,0.8285714285714247,17,1.971428571428565,41,6.799999999999985,62,5.939584016799927,Candidate,2025-11-30T00:59:13.722358
23646,260,0,13999,300,4984,True,23.28,864,103.7634887617027,1,26,59,18,1,144,163,30,-118,-104,-12,1,26,59,18,1,144,163,30,-118,-104,-12,1,26,59,18,1,144,163,30,-118,-104,-12,1,26,59,18,1,144,163,30,-118,-104,-12,1,26,71,19,1,149,187,32,-123,-116,-13,1,14,28,31,1,120,174,67,-106,-146,-36,8.982146526069662e-17,0,-1.7142857142857117,12,-3.3999999999999946,43,1.9428571428571428,13,1.2857142857142776,17,-7.028571428571434,42,-3.514285714285714,24,3.47013783454895,Candidate,2025-11-30T00:59:17.192923
64794,260,0,11539,300,8007,True,25.3,2208,171.54238543287192,1,13,29,16,1,35,36,22,-22,-7,-6,1,13,29,16,1,35,36,22,-22,-7,-6,1,13,29,16,1,35,36,22,-22,-7,-6,1,13,29,16,1,35,36,22,-22,-7,-6,1,13,29,16,1,35,36,22,-22,-7,-6,1,10,18,28,1,24,26,35,-14,-8,-7,8.982146526069662e-17,0,-0.4285714285714272,3,-1.5714285714285687,11,1.7142857142857135,12,1.1428571428571421,8,-0.14285714285714313,1,-0.1428571428571429,1,102.37645077705383,Candidate,2025-11-30T01:00:59.569870
4282,258,0,14124,300,6124,True,29.64,2208,153.5127695014327,1,12,39,42,1,57,125,81,-45,-86,-39,1,12,39,42,1,57,125,81,-45,-86,-39,1,12,39,42,1,57,125,81,-45,-86,-39,1,12,39,42,1,57,125,81,-45,-86,-39,1,12,51,80,1,61,168,160,-49,-117,-80,1,8,33,69,1,41,111,182,-33,-78,-113,8.982146526069662e-17,0,-0.5714285714285708,4,0.17142857142857618,18,7.114285714285715,38,1.3714285714285661,16,-1.514285714285717,39,-14.085714285714284,74,4.16735577583313,Candidate,2025-11-30T01:01:03.738482
5538,258,0,13957,300,7205,True,45.81,2319,207.85491871334997,1,14,15,53,1,33,68,96,-19,-53,-43,1,14,15,53,1,33,68,96,-19,-53,-43,1,14,15,53,1,33,68,96,-19,-53,-43,1,14,15,53,1,33,68,96,-19,-53,-43,1,10,18,65,1,29,75,113,-19,-57,-48,1,3,6,13,1,23,24,41,-20,-18,-28,8.982146526069662e-17,0,-1.9142857142857126,11,-1.0285714285714262,12,-4.68571428571428,52,-0.14285714285714457,1,4.6571428571428495,39,1.7142857142857089,20,8.665927171707153,Candidate,2025-11-30T01:01:12.405283
11171,258,0,14996,300,9373,True,35.263333333333335,2208,170.13375323224045,1,13,19,33,1,23,67,124,-10,-48,-91,1,13,19,33,1,23,67,124,-10,-48,-91,1,13,19,33,1,23,67,124,-10,-48,-91,1,13,19,33,1,23,67,124,-10,-48,-91,1,10,22,50,1,21,73,159,-11,-51,-109,1,9,9,21,1,15,34,65,-6,-25,-44,8.982146526069662e-17,0,-0.8285714285714282,4,-1.1714285714285704,13,-0.2571428571428561,29,0.48571428571428443,5,3.0285714285714245,26,5.171428571428565,65,16.3346688747406,Candidate,2025-11-30T01:01:28.740769
50628,258,0,14127,300,5196,True,22.07,1182,107.91767742126403,1,37,46,45,1,97,95,105,-60,-49,-60,1,37,46,45,1,97,95,105,-60,-49,-60,1,37,46,45,1,97,95,105,-60,-49,-60,1,37,46,45,1,97,95,105,-60,-49,-60,1,31,58,53,1,95,119,142,-64,-61,-89,1,26,38,37,1,99,108,107,-73,-70,-70,8.982146526069662e-17,0,-2.085714285714282,11,-0.11428571428571202,20,-0.45714285714285474,16,-2.2000000000000024,13,-4.02857142857143,21,-3.9142857142857173,29,4.6912150382995605,Candidate,2025-11-30T01:01:33.433048
