node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
254394,49,6139,300,4420,True,203803,1.5196218490600586,1,33,52,32,1,28,40,32,0,5,12,0,Fanconi Anemia,MCM9,2025-11-28T23:40:52.548799
2175,167,11996,300,4093,True,280842,2.7092010974884033,1,48,53,8,1,84,51,8,0,-36,2,0,Fanconi Anemia,FANCA,2025-11-28T23:40:55.258571
9025,433,14627,300,4780,True,662168,3.2367398738861084,1,0,0,0,1,57,26,17,0,-57,-26,-17,Fanconi Anemia,RNF8,2025-11-28T23:40:58.496283
4292,246,13041,300,4195,True,225837,2.780959129333496,1,22,50,68,1,79,103,80,0,-57,-53,-12,Fanconi Anemia,MLH1,2025-11-28T23:41:01.277903
80198,58,9642,300,5500,True,478402,2.401125192642212,1,28,50,55,1,33,37,53,0,-5,13,2,Fanconi Anemia,MUS81,2025-11-28T23:41:03.679554
472,319,15087,300,4533,True,459709,2.940354824066162,1,0,0,0,1,83,55,45,0,-83,-55,-45,Fanconi Anemia,ATM,2025-11-28T23:41:06.620874
55120,67,5984,300,4072,True,224924,1.6451070308685303,1,84,24,2,1,83,21,2,0,1,3,0,Fanconi Anemia,FANCL,2025-11-28T23:41:08.266645
3280,51,8595,300,6284,True,699738,2.6055123805999756,1,23,22,47,1,20,16,45,0,3,6,2,Fanconi Anemia,HES1,2025-11-28T23:41:10.872756
9937,21,6494,300,4079,True,185642,1.5632209777832031,1,19,54,36,1,17,54,34,0,2,0,2,Fanconi Anemia,DCLRE1A,2025-11-28T23:41:12.437550
378708,34,6688,300,1763,True,20659,1.3450899124145508,1,21,17,2,1,22,17,2,0,-1,0,0,Fanconi Anemia,APITD1,2025-11-28T23:41:13.783156
983,527,16026,300,6338,True,791099,3.3533380031585693,1,0,0,0,1,50,137,127,0,-50,-137,-127,Fanconi Anemia,CDK1,2025-11-28T23:41:17.137117
1111,193,12757,300,4139,True,260669,2.6555299758911133,1,46,52,67,1,62,63,48,0,-16,-11,19,Fanconi Anemia,CHEK1,2025-11-28T23:41:19.793255
353497,17,3088,300,4455,True,376307,1.0411839485168457,1,37,50,19,1,36,50,19,0,1,0,0,Fanconi Anemia,POLN,2025-11-28T23:41:20.835308
6233,471,15963,300,9187,True,8546434,15.230931282043457,1,0,0,0,1,39,94,138,0,-39,-94,-138,Fanconi Anemia,RPS27A,2025-11-28T23:41:36.066987
