node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
1499,969,1482,17635,300,5174,True,53.053333333333335,2319,208.8510405900712,1,0,0,0,1,67,200,46,-67,-200,-46,1,0,0,0,1,67,200,46,-67,-200,-46,1,0,0,0,1,67,200,46,-67,-200,-46,1,0,0,0,1,67,200,46,-67,-200,-46,1,0,0,0,2,67,248,137,-67,-248,-137,1,0,0,0,2,48,212,185,-48,-212,-185,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,2.714285714285709,19,-5.828571428571446,48,-27.65714285714285,139,3.9087631702423096,Alzheimer's Disease,2025-11-29T23:05:58.825085
6285,171,4,9546,300,2135,True,22.053333333333335,2208,150.56036604040992,1,124,18,0,1,162,11,0,-38,7,0,1,124,18,0,1,162,11,0,-38,7,0,1,124,18,0,1,162,11,0,-38,7,0,1,124,18,0,1,162,11,0,-38,7,0,1,124,18,0,1,162,11,0,-38,7,0,1,125,91,0,1,173,53,0,-48,38,0,8.982146526069662e-17,0,0.14285714285714793,1,10.428571428571427,73,0.0,0,-1.4285714285714284,10,4.428571428571427,31,0.0,0,2.915163993835449,Alzheimer's Disease,2025-11-29T23:06:01.740776
958,141,0,9744,300,2873,True,33.19,3080,202.1153809914854,1,85,66,3,1,106,49,3,-21,17,0,1,85,66,3,1,106,49,3,-21,17,0,1,85,66,3,1,106,49,3,-21,17,0,1,85,66,3,1,106,49,3,-21,17,0,1,93,73,6,1,117,55,6,-24,18,0,1,74,104,41,1,98,67,41,-24,37,0,8.982146526069662e-17,0,-0.8857142857142785,19,6.0285714285714285,38,5.685714285714283,38,-0.6857142857142859,3,2.942857142857144,20,0.0,0,2.308799982070923,Alzheimer's Disease,2025-11-29T23:06:04.050014
1859,1097,174,17097,300,5052,True,46.27,2319,201.15195856201188,1,0,0,0,1,143,146,19,-143,-146,-19,1,0,0,0,1,143,146,19,-143,-146,-19,1,0,0,0,1,143,146,19,-143,-146,-19,1,0,0,0,1,143,146,19,-143,-146,-19,1,0,0,0,1,101,257,87,-101,-257,-87,1,0,0,0,1,71,165,76,-71,-165,-76,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,13.88571428571427,72,-12.22857142857144,111,-13.971428571428572,68,4.067349910736084,Alzheimer's Disease,2025-11-29T23:06:08.117775
10059,321,292,14090,300,6504,True,44.77333333333333,1446,169.72967317341877,1,0,0,0,1,72,155,323,-72,-155,-323,1,0,0,0,1,72,155,323,-72,-155,-323,1,0,0,0,1,72,155,323,-72,-155,-323,1,0,0,0,1,72,155,323,-72,-155,-323,1,0,0,0,1,73,161,343,-73,-161,-343,1,0,0,0,1,56,89,159,-56,-89,-159,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,2.199999999999991,17,8.914285714285704,72,21.7142857142857,184,4.465816974639893,Alzheimer's Disease,2025-11-29T23:06:12.584516
10062,51,6,8153,300,5400,True,48.153333333333336,2319,220.97023137869854,1,45,47,14,1,40,44,14,5,3,0,1,45,47,14,1,40,44,14,5,3,0,1,45,47,14,1,40,44,14,5,3,0,1,45,47,14,1,40,44,14,5,3,0,1,43,73,63,1,42,68,63,1,5,0,1,29,66,55,1,33,60,55,-4,6,0,8.982146526069662e-17,0,-2.457142857142849,16,4.942857142857144,26,10.057142857142855,49,-1.6285714285714277,9,0.6000000000000001,3,0.0,0,2.7481369972229004,Alzheimer's Disease,2025-11-29T23:06:15.333533
4140,240,577,13816,300,5615,True,35.85666666666667,1896,155.69329718677324,1,30,77,96,1,58,169,110,-28,-92,-14,1,30,77,96,1,58,169,110,-28,-92,-14,1,30,77,96,1,58,169,110,-28,-92,-14,1,30,77,96,1,58,169,110,-28,-92,-14,1,24,100,140,1,64,204,203,-40,-104,-63,1,18,51,113,1,40,99,197,-22,-48,-84,8.982146526069662e-17,0,-2.2285714285714278,12,-1.7428571428571353,49,6.20000000000001,44,-0.1714285714285752,18,5.257142857142845,56,-14.199999999999998,70,4.3217668533325195,Alzheimer's Disease,2025-11-29T23:06:19.656077
5967,6,0,3109,300,1532,True,55.13333333333333,6070,382.2046426835876,2,106,14,0,3,105,14,0,1,0,0,2,106,14,0,3,105,14,0,1,0,0,2,106,14,0,3,105,14,0,1,0,0,2,106,14,0,3,105,14,0,1,0,0,2,137,16,0,3,136,16,0,1,0,0,1,4,6,0,1,2,6,0,2,0,0,-0.1428571428571426,1,-11.914285714285704,133,-0.9714285714285703,10,0.0,0,0.1428571428571429,1,0.0,0,0.0,0,0.38294315338134766,Alzheimer's Disease,2025-11-29T23:06:20.039852
4074,75,5,10948,300,5468,True,34.123333333333335,1134,119.96447302801313,1,53,48,18,1,56,45,16,-3,3,2,1,53,48,18,1,56,45,16,-3,3,2,1,53,48,18,1,56,45,16,-3,3,2,1,53,48,18,1,56,45,16,-3,3,2,1,39,74,51,1,43,73,49,-4,1,2,1,18,18,25,1,17,25,18,1,-7,7,8.982146526069662e-17,0,-6.199999999999992,35,-2.0571428571428565,56,3.8285714285714296,33,0.48571428571428515,5,-1.5999999999999992,10,0.7142857142857142,5,5.126366853713989,Alzheimer's Disease,2025-11-29T23:06:25.166611
2475,327,229,15145,300,5073,True,70.81333333333333,3080,297.68017259393605,1,0,0,0,1,112,124,50,-112,-124,-50,1,0,0,0,1,112,124,50,-112,-124,-50,1,0,0,0,1,112,124,50,-112,-124,-50,1,0,0,0,1,112,124,50,-112,-124,-50,1,0,0,0,1,137,151,83,-137,-151,-83,1,0,0,0,1,119,105,81,-119,-105,-81,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,-3.1428571428571432,25,0.39999999999998964,46,-7.257142857142857,33,4.088894844055176,Alzheimer's Disease,2025-11-29T23:06:29.256854
