node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
57492,209,12641,300,6452,True,737774,3.313868999481201,1,31,136,87,1,49,145,93,0,-18,-9,-6,Autism Spectrum Disorder,ARID1B,2025-11-28T23:21:55.929852
1175,153,13115,300,5426,True,486165,3.052043914794922,1,15,55,90,1,23,67,85,0,-8,-12,5,Autism Spectrum Disorder,AP2S1,2025-11-28T23:21:58.982510
10391,21,8013,300,5378,True,517716,2.4642629623413086,1,29,33,79,1,25,31,79,0,4,2,0,Autism Spectrum Disorder,CORO2B,2025-11-28T23:22:01.447348
4763,178,12776,300,5515,True,2467988,5.254952907562256,1,32,83,61,1,57,92,71,0,-25,-9,-10,Autism Spectrum Disorder,NF1,2025-11-28T23:22:06.702980
6812,135,12609,300,4243,True,326099,2.8851897716522217,1,21,55,61,1,41,55,51,0,-20,0,10,Autism Spectrum Disorder,STXBP1,2025-11-28T23:22:09.588786
8861,118,10366,300,5942,True,372501,2.615300178527832,1,44,213,145,1,52,215,128,0,-8,-2,17,Autism Spectrum Disorder,LDB1,2025-11-28T23:22:12.204732
3745,27,2890,300,2910,True,47649,0.5346100330352783,1,111,93,112,1,105,93,112,0,6,0,0,Autism Spectrum Disorder,KCNB1,2025-11-28T23:22:12.739898
6326,68,7171,300,2080,True,19439,1.7063159942626953,1,56,56,18,1,54,43,18,0,2,13,0,Autism Spectrum Disorder,SCN2A,2025-11-28T23:22:14.446691
57534,297,13542,300,4004,True,129254,2.7136898040771484,1,1,31,101,1,84,228,105,0,-83,-197,-4,Autism Spectrum Disorder,MIB1,2025-11-28T23:22:17.160916
49854,167,11474,300,5776,True,3014704,5.928947925567627,1,23,36,25,1,40,50,21,0,-17,-14,4,Autism Spectrum Disorder,ZBTB21,2025-11-28T23:22:23.090564
