node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,is_ad,timestamp
4129,37,43,8172,300,2194,True,4.246666666666667,296,27.034900077903416,1,148,143,1,1,138,134,1,10,9,0,1,148,143,1,1,138,134,1,10,9,0,1,148,143,1,1,138,134,1,10,9,0,1,148,143,1,1,138,134,1,10,9,0,1,148,143,1,1,138,134,1,10,9,0,1,162,231,1,1,155,217,1,7,14,0,8.982146526069662e-17,0,2.0000000000000098,14,12.571428571428578,88,8.982146526069662e-17,0,-0.428571428571427,3,0.7142857142857149,5,0.0,0,1.992203712463379,True,2025-11-29T23:05:49.043322
4133,77,1896,12191,300,2860,True,66.06666666666666,6070,394.72469168044483,1,58,38,7,1,59,40,1,-1,-2,6,1,58,38,7,1,59,40,1,-1,-2,6,1,58,38,7,1,59,40,1,-1,-2,6,1,58,38,7,1,59,40,1,-1,-2,6,1,83,73,16,1,86,78,9,-3,-5,7,1,40,82,59,1,42,86,44,-2,-4,15,8.982146526069662e-17,0,-0.42857142857142266,43,9.285714285714285,44,8.199999999999998,52,-0.31428571428571433,2,-0.5428571428571428,3,1.3714285714285712,9,2.799694061279297,True,2025-11-29T23:05:51.843437
10280,136,12,12495,300,3864,True,28.523333333333333,1632,136.02932081805827,1,57,68,11,1,144,108,11,-87,-40,0,1,57,68,11,1,144,108,11,-87,-40,0,1,57,68,11,1,144,108,11,-87,-40,0,1,57,68,11,1,144,108,11,-87,-40,0,1,46,84,20,1,134,131,20,-88,-47,0,1,38,40,10,1,131,114,11,-93,-74,-1,8.982146526069662e-17,0,-3.6571428571428526,19,-2.6285714285714215,44,0.628571428571429,10,-0.9428571428571464,6,-5.457142857142861,34,-0.14285714285714277,1,3.120497941970825,True,2025-11-29T23:05:54.964352
4139,72,139,10163,300,4879,True,57.21666666666667,3080,262.9082280737689,2,67,121,42,2,69,110,42,-2,11,0,2,67,121,42,2,69,110,42,-2,11,0,2,67,121,42,2,69,110,42,-2,11,0,2,67,121,42,2,69,110,42,-2,11,0,2,67,185,54,2,70,169,54,-3,16,0,1,35,129,94,1,37,114,92,-2,15,2,-0.1428571428571426,1,-4.571428571428567,32,6.6285714285714405,64,8.45714285714286,52,-0.08571428571428599,1,1.0000000000000009,5,0.28571428571428553,2,3.050753116607666,True,2025-11-29T23:05:58.016180
4140,240,577,13816,300,5615,True,35.85666666666667,1896,155.69329718677324,1,30,77,96,1,58,169,110,-28,-92,-14,1,30,77,96,1,58,169,110,-28,-92,-14,1,30,77,96,1,58,169,110,-28,-92,-14,1,30,77,96,1,58,169,110,-28,-92,-14,1,24,100,140,1,64,204,203,-40,-104,-63,1,18,51,113,1,40,99,197,-22,-48,-84,8.982146526069662e-17,0,-2.2285714285714278,12,-1.7428571428571353,49,6.20000000000001,44,-0.1714285714285752,18,5.257142857142845,56,-14.199999999999998,70,4.074357986450195,True,2025-11-29T23:06:02.090972
6195,198,161,13158,300,4469,True,63.35666666666667,2319,232.29008327711475,1,46,159,56,1,109,170,36,-63,-11,20,1,46,159,56,1,109,170,36,-63,-11,20,1,46,159,56,1,109,170,36,-63,-11,20,1,46,159,56,1,109,170,36,-63,-11,20,1,31,127,74,1,82,188,54,-51,-61,20,1,21,54,51,1,50,90,53,-29,-36,-2,8.982146526069662e-17,0,-4.857142857142847,25,-17.74285714285713,105,0.8285714285714353,23,5.885714285714283,34,-7.857142857142855,50,-3.1428571428571406,22,3.3720240592956543,True,2025-11-29T23:06:05.463565
2099,2291,21,18047,300,5461,True,57.36666666666667,2208,219.3599603898173,1,0,0,0,1,92,139,18,-92,-139,-18,1,0,0,0,1,92,139,18,-92,-139,-18,1,0,0,0,1,92,139,18,-92,-139,-18,1,0,0,0,1,92,139,18,-92,-139,-18,1,0,0,0,1,63,139,55,-63,-139,-55,1,0,0,0,1,42,96,77,-42,-96,-77,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,9.62857142857142,50,6.142857142857131,43,-11.599999999999996,59,3.914309024810791,True,2025-11-29T23:06:09.378445
6197,194,340,13729,300,5710,True,63.1,2319,233.69428034649601,1,38,57,62,1,91,75,61,-53,-18,1,1,38,57,62,1,91,75,61,-53,-18,1,1,38,57,62,1,91,75,61,-53,-18,1,1,38,57,62,1,91,75,61,-53,-18,1,1,19,47,102,1,62,85,144,-43,-38,-42,1,17,45,70,1,48,72,81,-31,-27,-11,8.982146526069662e-17,0,-4.628571428571425,21,-2.57142857142857,12,4.571428571428573,40,3.9999999999999942,22,-3.0,20,-5.399999999999999,43,4.458977937698364,True,2025-11-29T23:06:13.837908
6198,110,67,13087,300,5627,True,45.28666666666667,3080,207.46023993901954,1,44,56,77,1,42,60,60,2,-4,17,1,44,56,77,1,42,60,60,2,-4,17,1,44,56,77,1,42,60,60,2,-4,17,1,44,56,77,1,42,60,60,2,-4,17,1,19,56,67,1,20,64,60,-1,-8,7,1,12,29,51,1,16,38,50,-4,-9,1,8.982146526069662e-17,0,-6.714285714285712,32,-3.85714285714285,27,-4.571428571428565,26,-1.1142857142857134,6,-1.0571428571428572,5,-3.1428571428571397,16,4.8086230754852295,True,2025-11-29T23:06:18.647046
10295,140,24,12879,300,3929,True,50.303333333333335,3080,249.1491480797976,1,52,57,17,1,61,60,11,-9,-3,6,1,52,57,17,1,61,60,11,-9,-3,6,1,52,57,17,1,61,60,11,-9,-3,6,1,52,57,17,1,61,60,11,-9,-3,6,1,61,93,50,1,77,107,31,-16,-14,19,1,47,81,168,1,58,80,125,-11,1,43,8.982146526069662e-17,0,0.057142857142862234,14,6.514285714285715,36,24.399999999999988,151,-0.8857142857142857,7,-0.3714285714285716,15,6.399999999999998,37,3.019145965576172,True,2025-11-29T23:06:21.667120
