node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
7514,1491,17622,300,4577,True,292009,3.333430767059326,1,0,0,0,1,96,106,72,0,-96,-106,-72,Top_Candidates,7514,2025-11-29T00:04:04.644514
1080,1472,16796,300,4100,True,141057,3.1030406951904297,1,0,0,0,1,91,92,52,0,-91,-92,-52,Top_Candidates,1080,2025-11-29T00:04:07.748147
8940,1471,16729,300,5279,True,1804862,5.036862850189209,1,0,0,0,1,79,65,42,0,-79,-65,-42,Top_Candidates,8940,2025-11-29T00:04:12.785578
10155,1466,17940,300,5835,True,684659,3.7858951091766357,1,0,0,0,1,60,78,113,0,-60,-78,-113,Top_Candidates,10155,2025-11-29T00:04:16.574357
2146,1457,17632,300,6021,True,863797,3.961460828781128,1,0,0,0,1,46,78,107,0,-46,-78,-107,Top_Candidates,2146,2025-11-29T00:04:20.536415
9343,1448,17791,300,7691,True,1425787,4.556469202041626,1,0,0,0,1,15,113,135,0,-15,-113,-135,Top_Candidates,9343,2025-11-29T00:04:25.093581
26135,1443,17948,300,8463,True,2775174,6.778966188430786,1,0,0,0,1,18,54,110,0,-18,-54,-110,Top_Candidates,26135,2025-11-29T00:04:31.873188
1051,1420,17746,300,5757,True,563280,3.5271732807159424,1,0,0,0,1,29,73,65,0,-29,-73,-65,Top_Candidates,1051,2025-11-29T00:04:35.400948
9401,1415,16901,300,5919,True,705571,3.626193046569824,1,0,0,0,1,58,71,74,0,-58,-71,-74,Top_Candidates,9401,2025-11-29T00:04:39.027737
11113,1414,17095,300,6210,True,909614,3.7792320251464844,1,0,0,0,1,25,89,112,0,-25,-89,-112,Top_Candidates,11113,2025-11-29T00:04:42.807579
6047,1408,17687,300,2431,True,37081,2.909566879272461,1,0,0,0,1,91,65,20,0,-91,-65,-20,Top_Candidates,6047,2025-11-29T00:04:45.718170
7415,1404,18137,300,6745,True,856664,3.9116411209106445,1,0,0,0,1,56,158,139,0,-56,-158,-139,Top_Candidates,7415,2025-11-29T00:04:49.630378
7182,1401,17103,300,7526,True,1935492,5.337869167327881,1,0,0,0,1,26,31,77,0,-26,-31,-77,Top_Candidates,7182,2025-11-29T00:04:54.969253
4613,1370,17061,300,5877,True,726154,3.5074658393859863,1,0,0,0,1,53,132,115,0,-53,-132,-115,Top_Candidates,4613,2025-11-29T00:04:58.477498
6657,1352,16489,300,3932,True,159062,2.9958040714263916,1,0,0,0,1,89,78,28,0,-89,-78,-28,Top_Candidates,6657,2025-11-29T00:05:01.474007
10482,1345,16939,300,4469,True,403889,3.3027079105377197,1,0,0,0,1,80,70,51,0,-80,-70,-51,Top_Candidates,10482,2025-11-29T00:05:04.777323
330,1321,16751,300,5975,True,574759,3.47316312789917,1,0,0,0,1,24,83,23,0,-24,-83,-23,Top_Candidates,330,2025-11-29T00:05:08.251121
203228,1318,17272,300,5914,True,888561,3.8414409160614014,1,0,0,0,1,31,53,24,0,-31,-53,-24,Top_Candidates,203228,2025-11-29T00:05:12.093200
2033,1317,17469,300,4496,True,183389,3.152985095977783,1,0,0,0,1,53,89,58,0,-53,-89,-58,Top_Candidates,2033,2025-11-29T00:05:15.246766
