node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
4627,753,17294,300,8744,True,2694055,6.608222961425781,1,0,0,0,1,18,64,118,0,-18,-64,-118,False,Non-AD
367,946,16504,300,4815,True,211150,3.0979719161987305,1,0,0,0,1,80,195,94,0,-80,-195,-94,False,Non-AD
2064,686,16208,300,3641,True,104303,2.8681461811065674,1,0,0,0,1,101,103,58,0,-101,-103,-58,False,Non-AD
3065,1100,16728,300,5746,True,521265,3.44905424118042,1,0,0,0,1,46,134,72,0,-46,-134,-72,False,Non-AD
5591,703,17156,300,9073,True,4810515,10.24195384979248,1,0,0,0,1,16,50,56,0,-16,-50,-56,False,Non-AD
4171,1060,17316,300,6671,True,3368689,7.625059127807617,1,0,0,0,1,40,47,63,0,-40,-47,-63,False,Non-AD
5371,924,17204,300,4565,True,183951,3.0647120475769043,1,0,0,0,1,92,187,114,0,-92,-187,-114,False,Non-AD
10482,1345,16939,300,4469,True,403889,3.323499917984009,1,0,0,0,1,80,70,51,0,-80,-70,-51,False,Non-AD
203228,1318,17272,300,5914,True,888561,3.8769960403442383,1,0,0,0,1,31,53,24,0,-31,-53,-24,False,Non-AD
387,1178,16813,300,3897,True,172423,2.969298839569092,1,0,0,0,1,76,101,57,0,-76,-101,-57,False,Non-AD
10413,1085,16817,300,5679,True,431985,3.3504769802093506,1,0,0,0,1,32,178,96,0,-32,-178,-96,False,Non-AD
112399,1292,16351,300,3411,True,57825,2.9534518718719482,1,0,0,0,1,181,140,25,0,-181,-140,-25,False,Non-AD
51343,1120,16783,300,5379,True,468127,3.2979040145874023,1,0,0,0,1,58,102,47,0,-58,-102,-47,False,Non-AD
2547,918,17450,300,5220,True,585679,3.5024399757385254,1,0,0,0,1,44,56,58,0,-44,-56,-58,False,Non-AD
7431,783,16955,300,4934,True,359736,3.323798894882202,1,0,0,0,1,86,79,40,0,-86,-79,-40,False,Non-AD
6047,1408,17687,300,2431,True,37081,3.0133168697357178,1,0,0,0,1,91,65,20,0,-91,-65,-20,False,Non-AD
8359,1766,17826,300,6183,True,786349,3.7258901596069336,1,0,0,0,1,48,121,100,0,-48,-121,-100,False,Non-AD
832,1032,17177,300,8071,True,2207124,5.797040939331055,1,0,0,0,1,19,77,140,0,-19,-77,-140,False,Non-AD
1969,722,15300,300,6085,True,485819,3.332648992538452,1,0,0,0,1,34,150,86,0,-34,-150,-86,False,Non-AD
7184,660,16959,300,8087,True,1588049,4.7061450481414795,1,0,0,0,1,18,90,217,0,-18,-90,-217,False,Non-AD
7874,828,17015,300,4197,True,136642,3.0005898475646973,1,0,0,0,1,104,134,99,0,-104,-134,-99,False,Non-AD
55294,941,16897,300,6206,True,793705,3.743799924850464,1,0,0,0,1,34,73,52,0,-34,-73,-52,False,Non-AD
1050,1171,16547,300,5108,True,422355,3.1794378757476807,1,0,0,0,1,67,70,46,0,-67,-70,-46,False,Non-AD
3313,693,16900,300,8980,True,3602964,8.14979100227356,1,0,0,0,1,10,34,77,0,-10,-34,-77,False,Non-AD
23586,1764,17265,300,2404,True,20600,2.948030948638916,1,0,0,0,1,231,90,4,0,-231,-90,-4,False,Non-AD
